Stazione,Inquinante,Data,Ora,Valore,"Unità di misura"
"Parco S. Chiara",PM10,2019-02-27,6,13,µg/mc
"Parco S. Chiara",PM10,2019-02-27,7,14,µg/mc
"Parco S. Chiara",PM10,2019-02-27,8,19,µg/mc
"Parco S. Chiara",PM10,2019-02-27,9,22,µg/mc
"Parco S. Chiara",PM10,2019-02-27,10,17,µg/mc
"Parco S. Chiara",PM10,2019-02-27,11,14,µg/mc
"Parco S. Chiara",PM10,2019-02-27,12,11,µg/mc
"Parco S. Chiara",PM10,2019-02-27,13,10,µg/mc
"Parco S. Chiara",PM10,2019-02-27,14,8,µg/mc
"Parco S. Chiara",PM10,2019-02-27,15,7,µg/mc
"Parco S. Chiara",PM10,2019-02-27,16,9,µg/mc
"Parco S. Chiara",PM10,2019-02-27,17,14,µg/mc
"Parco S. Chiara",PM10,2019-02-27,18,18,µg/mc
"Parco S. Chiara",PM10,2019-02-27,19,24,µg/mc
"Parco S. Chiara",PM10,2019-02-27,20,37,µg/mc
"Parco S. Chiara",PM10,2019-02-27,21,37,µg/mc
"Parco S. Chiara",PM10,2019-02-27,22,36,µg/mc
"Parco S. Chiara",PM10,2019-02-27,23,35,µg/mc
